价格,面积,编号,户型,楼层,位置1,位置2,小区,地铁
,,,,,,,,
3820,12,120456-B,3室1卫,1/22层,海淀区,苏州桥,紫金庄园,"地铁：距12号线,16号线苏州桥站450米"
3370,9,124815-B,6室2卫,9/9层,朝阳区,朝阳门,大方家胡同,"地铁：距2号线,6号线朝阳门站650米"
2710,8,122722-B,4室1卫,6/18层,海淀区,西二旗,回龙观新村中区,"地铁：距13号线,昌平线西二旗站1100米"
,,,,,,,,
,,,,,,,,
1890,8,133416-A,4室1卫,5/6层,大兴区,高米店北,金惠园三里,地铁：距4号线大兴线高米店北站550米
2720,18,145801-A,2室1卫,9/12层,大兴区,枣园,那尔水晶城,地铁：距4号线大兴线枣园站650米
2250,18,147009-C,3室1卫,6/7层,昌平区,昌平,东关北里小区,地铁：距昌平线昌平站1000米
2330,10,147372-A,2室1卫,5/6层,通州区,通州北关,永顺路小区,地铁：距6号线通州北关站850米
2970,11,151685-A,2室1卫,3/6层,朝阳区,劲松,农光里,地铁：距10号线劲松站350米
,,,,,,,,
1990,10,155267-B,2室1卫,1/6层,大兴区,黄村西大街,三合南里社区（大兴）,地铁：距4号线大兴线黄村西大街站700米
3090,20,14938-D,4室1卫,4/8层,朝阳区,双桥,东柳西里,地铁：距八通线双桥站900米
4460,18,1619-B,3室1卫,23/28层,朝阳区,望京,南湖东园一区,"地铁：距14号线东段,15号线望京站550米"
1830,11,19001-C,3室1卫,6/6层,顺义区,石门,西辛南区,地铁：距15号线石门站450米
2050,8,1990-A,3室1卫,4/15层,丰台区,新宫,德鑫嘉园三期,"地铁：距4号线大兴线,19号线新宫站850米"
,,,,,,,,
2430,9,23809-A,3室1卫,17/24层,丰台区,木樨园,宝汇苑,地铁：距8号线南段木樨园站800米
1780,16,24931-D,5室2卫,6/6层,通州区,万盛东,绣江南,地铁：距7号线万盛东站350米
1860,8,25691-A,4室1卫,18/24层,通州区,北运河西,玉桥佳园,地铁：距6号线北运河西站1050米
2610,10,26636-B,3室1卫,8/26层,朝阳区,潘家园,农光南里,地铁：距10号线潘家园站250米
2510,19,26662-D,4室1卫,5/6层,朝阳区,肖村,三台山路3号院,地铁：距亦庄线肖村站550米
2510,12,25346-B,3室2卫,14/15层,顺义区,石门,万科四季花城,地铁：距15号线石门站450米
1330,8,29552-C,3室1卫,10/20层,房山区,良乡大学城西,绿湾星苑,地铁：距房山线良乡大学城西站850米
2920,9,2894-C,3室1卫,9/19层,朝阳区,阜通,花家地西里,地铁：距14号线东段阜通站900米
3500,10,23271-A,2室1卫,6/6层,朝阳区,高家园,大山子南里,地铁：距12号线高家园站250米
3010,8,30566-D,4室1卫,2/6层,海淀区,马连洼,菊园,地铁：距13号线上地站2500米
2780,9,26072-C,5室1卫,1/6层,朝阳区,望京,望京西园二区,"地铁：距14号线东段,15号线望京站650米"
2600,9,31181-A,4室1卫,22/22层,朝阳区,十里河,方华苑,"地铁：距10号线,14号线东段,17号线十里河站800米"
2430,10,3222-C,3室1卫,24/29层,朝阳区,草房,保利嘉园1号院,地铁：距6号线草房站950米
1490,15,33146-B,3室1卫,1/22层,房山区,阎村,天恒乐活城,地铁：距燕房线阎村站200米
1400,7,33662-A,4室1卫,11/21层,丰台区,张郭庄,红山郡,地铁：距14号线西段张郭庄站1750米
3280,20,34576-A,3室1卫,3/7层,东城区,景泰,李村南里,地铁：距14号线东段景泰站300米
2810,8,28474-A,3室1卫,4/6层,朝阳区,望京,南湖中园小区,"地铁：距14号线东段,15号线望京站700米"
2450,8,3623-B,4室1卫,13/18层,丰台区,角门西,嘉园三里,"地铁：距10号线,4号线大兴线角门西站550米"
2850,16,39091-D,4室1卫,4/6层,通州区,果园,新华联家园北区,地铁：距八通线果园站500米
3150,10,3906-C,3室1卫,1/6层,朝阳区,望京,南湖中园一区,"地铁：距14号线东段,15号线望京站800米"
1560,12,43668-A,4室1卫,7/10层,房山区,广阳城,原香小镇一区,地铁：距房山线广阳城站2050米
2880,19,43905-C,4室1卫,4/6层,通州区,梨园,云景里北区,地铁：距八通线梨园站950米
4380,23,44068-C,4室1卫,5/18层,朝阳区,潘家园,美景东方,地铁：距14号线东段北工大西门站850米
