,价格,面积,编号,户型,楼层,位置1,位置2,小区,地铁,所在楼层,总楼层,地铁数,距离地铁距离
4892,2430,8,149162-A,2室1卫,5/6层,大兴区,西红门,兴海家园日苑,距4号线大兴线西红门站350米,5,6,2,350
4893,2470,9,152150-C,3室1卫,1/16层,昌平区,天通苑,天通苑北一区,距5号线天通苑站350米,1,16,1,350
4894,3310,17,153366-A,2室1卫,4/9层,大兴区,西红门,宏盛家园,距4号线大兴线西红门站900米,4,9,2,900
4895,3170,18,153443-A,2室1卫,2/6层,丰台区,角门东,马家堡67号院,距10号线角门东站750米,2,6,1,750
4896,3960,14,24122-D,4室1卫,13/20层,海淀区,苏州街,苏州街52号院,"距10号线,16号线苏州街站850米",13,20,2,850
4897,3070,10,34013-C,3室1卫,5/6层,东城区,磁器口,兴隆都市馨园,"距5号线,7号线磁器口站400米",5,6,2,400
4898,2470,9,43031-A,4室1卫,4/5层,昌平区,回龙观,南店新村,距8号线育新站1100米,4,5,1,1100
4899,2590,11,6296-D,4室1卫,25/28层,朝阳区,立水桥,世华泊郡,"距13号线,5号线立水桥站1050米",25,28,2,1050
4900,1860,13,69691-A,3室1卫,2/6层,通州区,临河里,群芳园,距八通线临河里站1200米,2,6,1,1200
4901,4390,49,73966-A,1室1卫,1/13层,通州区,梨园,园景东区,距八通线梨园站150米,1,13,1,150
4902,2440,11,79234-B,3室1卫,8/20层,石景山区,杨庄,杨庄北区,距6号线杨庄站550米,8,20,1,550
4903,3630,15,131304-A,3室1卫,1/6层,朝阳区,将台,酒仙桥中路3号院,距14号线东段将台站700米,1,6,1,700
4904,3620,48,151278-A,1室1卫,9/11层,通州区,通州北关,古韵新居,距6号线通州北关站1650米,9,11,1,1650
4905,3590,10,153810-B,2室1卫,13/19层,朝阳区,百子湾,沿海赛洛城,距7号线百子湾站650米,13,19,1,650
4906,3020,20,1480-C,5室1卫,6/7层,昌平区,天通苑,天通苑北三区,距5号线天通苑站1700米,6,7,1,1700
4907,2070,9,15623-B,3室1卫,2/6层,朝阳区,管庄,东会新村,距八通线管庄站150米,2,6,1,150
4908,2120,12,25557-C,4室1卫,4/6层,大兴区,西红门,兴海家园日苑,距4号线大兴线西红门站350米,4,6,2,350
4909,1770,14,28173-B,3室1卫,5/6层,顺义区,石门,澜西园,距15号线石门站2200米,5,6,1,2200
4910,2510,17,34402-C,3室1卫,6/29层,朝阳区,平房村,金隅汇景苑,"距14号线东段,平谷线东风北桥站4500米",6,29,2,4500
4911,2730,19,38003-B,3室1卫,6/6层,朝阳区,常营,连心园西区,距6号线常营站800米,6,6,1,800
4912,2460,14,26913-A,3室1卫,4/17层,丰台区,新宫,新宫家园北区,"距4号线大兴线,19号线新宫站300米",4,17,3,300
4913,2700,15,55169-C,3室1卫,5/6层,朝阳区,管庄,东会新村,距八通线管庄站150米,5,6,1,150
4914,2460,11,5461-E,5室1卫,3/12层,昌平区,天通苑南,天通苑西一区,距5号线天通苑南站150米,3,12,1,150
4915,3320,10,5779-A,3室1卫,23/28层,朝阳区,望京西,湖光壹号,"距13号线,15号线望京西站550米",23,28,2,550
4916,2350,12,65320-C,3室1卫,6/8层,朝阳区,孙河,康营小区5区,距15号线孙河站950米,6,8,1,950
4917,1980,15,70907-A,3室1卫,4/6层,通州区,梨园,北杨洼小区,距八通线梨园站550米,4,6,1,550
4918,1920,8,7255-B,4室1卫,5/15层,顺义区,花梨坎,满庭芳嘉园,距15号线花梨坎站850米,5,15,1,850
4919,2140,11,7521-B,3室1卫,4/28层,朝阳区,管庄,管庄新村,距八通线管庄站600米,4,28,1,600
4920,2980,17,8822-B,4室1卫,13/18层,朝阳区,双桥,金隅康惠园,距八通线双桥站600米,13,18,1,600
4921,1900,10,143724-A,3室1卫,4/6层,通州区,通州北关,天桥湾,距6号线通运门站1000米,4,6,1,1000
4922,2450,9,12797-A,4室1卫,1/32层,昌平区,天通苑,天通苑西三区,距5号线天通苑站350米,1,32,1,350
4923,1830,7,148726-C,3室1卫,1/6层,朝阳区,双桥,东柳西里,距八通线双桥站900米,1,6,1,900
4924,3620,67,151682-A,1室1卫,3/6层,通州区,通州北关,至善家园,距6号线通州北关站1700米,3,6,1,1700
4925,2460,12,2409-C,3室1卫,17/18层,朝阳区,星火,姚家园东里7号院,"距3号线,20号线星火站800米",17,18,2,800
4926,2270,17,25753-C,3室1卫,15/16层,昌平区,沙河,兆丰家园,距昌平线沙河站600米,15,16,1,600
4927,2400,12,2589-B,3室1卫,12/28层,通州区,物资学院路,新建村小区,距6号线物资学院路站550米,12,28,1,550
4928,1380,6,33675-A,3室1卫,8/21层,丰台区,张郭庄,红山郡,距14号线西段张郭庄站1750米,8,21,1,1750
4929,3280,11,374-D,4室2卫,5/16层,朝阳区,望京西,北京香颂,"距13号线,15号线望京西站550米",5,16,2,550
4930,2790,12,57705-C,3室1卫,7/22层,朝阳区,成寿寺,方庄南路18号院,距10号线成寿寺站700米,7,22,1,700
4931,1830,9,66745-B,3室1卫,11/26层,通州区,梨园,新城嘉园（通州）,距八通线梨园站550米,11,26,1,550
4932,2970,10,6781-A,3室1卫,24/28层,朝阳区,四惠东,通惠家园惠民园,"距1号线,八通线四惠东站350米",24,28,2,350
4933,2800,11,6781-C,3室1卫,24/28层,朝阳区,四惠东,通惠家园惠民园,"距1号线,八通线四惠东站350米",24,28,2,350
